Part1_E,Part3_E,Part11_E
0.017,0.281,0.248
0.014,0.418,0.247
0.023,0.398,0.116
0.023,0.488,0.212
0.02,0.388,0.106
0.015,0.26,0.158
0.014,0.217,0.134
0.014,0.446,0.111
0.02,0.297,0.161
0.02,0.43,0.225
0.013,0.492,0.207
0.02,0.452,0.175
0.017,0.485,0.155
0.012,0.318,0.148
0.017,0.398,0.212
0.02,0.385,0.108
0.013,0.354,0.134
0.011,0.435,0.194
0.017,0.345,0.224
0.01,0.231,0.156
0.023,0.351,0.125
0.013,0.396,0.231
0.023,0.299,0.109
0.014,0.334,0.19
0.024,0.303,0.159
0.011,0.231,0.123
0.017,0.466,0.222
0.023,0.324,0.218
0.025,0.234,0.249
0.013,0.421,0.222
0.014,0.293,0.237
0.014,0.493,0.123
0.016,0.23,0.224
0.024,0.357,0.158
0.018,0.294,0.14
0.018,0.364,0.213
0.012,0.226,0.129
0.015,0.31,0.131
0.014,0.302,0.205
0.016,0.281,0.129
0.016,0.21,0.225
0.016,0.223,0.179
0.02,0.493,0.247
0.021,0.344,0.147
0.019,0.492,0.23
0.022,0.263,0.239
0.019,0.416,0.164
0.019,0.383,0.17
0.025,0.203,0.137
0.015,0.272,0.242
0.025,0.259,0.201
0.014,0.422,0.16
0.013,0.261,0.239
0.013,0.436,0.161
0.017,0.465,0.209
0.02,0.305,0.138
0.017,0.472,0.171
0.014,0.205,0.111
0.012,0.48,0.129
0.012,0.253,0.148
0.018,0.217,0.145
0.013,0.308,0.117
0.01,0.48,0.184
0.014,0.464,0.121
0.017,0.289,0.123
0.012,0.306,0.166
0.017,0.411,0.153
0.013,0.277,0.229
0.012,0.303,0.137
0.016,0.487,0.203
0.012,0.284,0.167
0.018,0.324,0.107
0.021,0.344,0.178
0.013,0.432,0.241
0.014,0.426,0.245
0.014,0.468,0.133
0.013,0.362,0.143
0.023,0.334,0.247
0.013,0.247,0.115
0.02,0.309,0.128
0.019,0.207,0.222
0.016,0.417,0.184
0.02,0.299,0.247
0.022,0.353,0.22
0.017,0.394,0.199
0.023,0.236,0.162
0.024,0.263,0.22
0.011,0.378,0.186
0.013,0.27,0.125
0.018,0.433,0.227
0.024,0.458,0.188
0.011,0.427,0.228
0.02,0.404,0.159
0.018,0.364,0.23
0.014,0.279,0.12
0.018,0.472,0.239
0.014,0.226,0.197
0.02,0.411,0.13
0.025,0.492,0.163
0.022,0.408,0.162
0.025,0.311,0.165
0.023,0.425,0.24
0.014,0.24,0.126
0.025,0.453,0.132
0.015,0.393,0.193
0.012,0.299,0.226
0.024,0.346,0.242
0.012,0.47,0.126
0.021,0.485,0.22
0.016,0.214,0.233
0.018,0.308,0.115
0.012,0.245,0.14
0.019,0.385,0.249
0.017,0.435,0.121
0.017,0.274,0.175
0.013,0.444,0.116
0.018,0.356,0.199
0.014,0.436,0.207
0.015,0.369,0.143
0.014,0.257,0.188
0.012,0.291,0.234
0.017,0.42,0.132
0.012,0.375,0.196
0.024,0.437,0.178
0.025,0.381,0.223
0.014,0.496,0.155
0.018,0.227,0.106
0.017,0.357,0.129
0.021,0.212,0.123
0.015,0.324,0.128
0.018,0.221,0.192
0.013,0.385,0.186
0.018,0.36,0.107
0.018,0.477,0.239
0.019,0.39,0.11
0.01,0.482,0.139
0.02,0.443,0.227
0.013,0.493,0.118
0.019,0.224,0.163
0.014,0.303,0.109
0.018,0.289,0.105
0.017,0.46,0.12
0.015,0.237,0.217
0.02,0.311,0.113
0.023,0.349,0.158
0.016,0.448,0.14
0.024,0.359,0.154
0.016,0.326,0.203
0.011,0.214,0.171
0.01,0.293,0.116
0.019,0.24,0.223
0.017,0.467,0.247
0.025,0.39,0.225
0.016,0.285,0.103
0.015,0.285,0.2
0.01,0.206,0.196
0.024,0.452,0.229
0.019,0.375,0.135
0.019,0.347,0.173
0.018,0.213,0.222
0.016,0.398,0.159
0.013,0.399,0.203
0.014,0.393,0.127
0.019,0.47,0.159
0.019,0.339,0.175
0.018,0.406,0.206
0.021,0.29,0.14
0.017,0.466,0.249
0.023,0.252,0.165
0.013,0.204,0.152
0.023,0.302,0.223
0.024,0.209,0.212
0.016,0.224,0.128
0.018,0.3,0.236
0.016,0.357,0.119
0.023,0.314,0.217
0.014,0.456,0.235
0.018,0.374,0.244
0.021,0.416,0.109
0.012,0.209,0.122
0.016,0.224,0.231
0.021,0.228,0.117
0.015,0.474,0.205
0.01,0.37,0.148
0.019,0.232,0.208
0.023,0.33,0.117
0.016,0.278,0.134
0.01,0.214,0.121
0.022,0.455,0.17
0.025,0.274,0.23
0.023,0.395,0.119
0.024,0.49,0.114
0.021,0.351,0.182
0.018,0.44,0.131
0.011,0.476,0.209
0.012,0.225,0.249
0.02,0.201,0.24
0.018,0.282,0.109
0.024,0.221,0.175
0.022,0.49,0.248
0.013,0.494,0.128
0.019,0.255,0.221
0.011,0.415,0.127
0.011,0.302,0.131
0.021,0.431,0.148
0.023,0.207,0.24
0.023,0.363,0.11
0.017,0.362,0.126
0.022,0.355,0.246
0.025,0.408,0.2
0.021,0.232,0.148
0.015,0.364,0.189
0.014,0.24,0.24
0.016,0.378,0.188
0.018,0.333,0.231
0.011,0.252,0.206
0.01,0.355,0.167
0.01,0.483,0.131
0.02,0.303,0.249
0.011,0.396,0.171
0.015,0.367,0.121
0.014,0.422,0.226
0.02,0.329,0.198
0.015,0.413,0.104
0.02,0.402,0.23
0.024,0.401,0.22
0.016,0.208,0.114
0.013,0.425,0.119
0.014,0.401,0.184
0.011,0.333,0.118
0.016,0.28,0.132
0.016,0.359,0.233
0.023,0.449,0.243
0.014,0.351,0.18
0.018,0.336,0.181
0.014,0.252,0.125
0.014,0.38,0.221
0.018,0.444,0.183
0.024,0.303,0.143
0.011,0.427,0.164
0.024,0.274,0.181
0.013,0.316,0.139
0.014,0.455,0.199
0.012,0.418,0.154
0.011,0.226,0.11
0.019,0.224,0.205
0.02,0.337,0.118
0.018,0.345,0.224
0.021,0.385,0.241
0.022,0.443,0.175
0.02,0.423,0.246
0.012,0.355,0.159
0.019,0.401,0.191
0.01,0.474,0.168
0.014,0.27,0.245
0.017,0.427,0.238
0.014,0.379,0.227
0.016,0.459,0.189
0.024,0.221,0.105
0.017,0.305,0.145
0.022,0.306,0.248
0.023,0.444,0.105
0.021,0.253,0.174
0.02,0.295,0.142
0.024,0.248,0.229
0.021,0.389,0.233
0.014,0.406,0.221
0.017,0.466,0.204
0.016,0.39,0.205
0.019,0.4,0.232
0.02,0.4,0.101
0.019,0.384,0.105
0.014,0.314,0.147
0.018,0.245,0.2
0.019,0.36,0.166
0.024,0.424,0.127
0.018,0.348,0.144
0.024,0.369,0.242
0.012,0.362,0.105
0.01,0.24,0.239
0.015,0.472,0.18
0.015,0.209,0.215
0.016,0.203,0.216
0.022,0.493,0.18
0.019,0.219,0.102
0.017,0.278,0.128
0.012,0.214,0.197
0.01,0.26,0.172
0.017,0.486,0.148
0.012,0.323,0.213
0.018,0.31,0.209
0.016,0.24,0.146
0.019,0.453,0.246
0.017,0.339,0.154
0.019,0.491,0.213
0.011,0.323,0.118
0.022,0.342,0.132
0.011,0.234,0.184
0.024,0.295,0.18
0.024,0.486,0.15
0.02,0.282,0.209
0.019,0.499,0.12
0.022,0.295,0.248
0.011,0.235,0.168
0.02,0.331,0.167
0.02,0.445,0.135
0.022,0.344,0.153
0.019,0.278,0.13
0.011,0.399,0.231
0.01,0.447,0.11
0.019,0.349,0.183
0.017,0.338,0.115
0.012,0.412,0.166
0.022,0.361,0.177
0.018,0.452,0.177
0.022,0.244,0.176
0.016,0.4,0.207
0.02,0.459,0.234
0.011,0.377,0.101
0.014,0.313,0.147
0.012,0.401,0.23
0.025,0.275,0.194
0.017,0.218,0.171
0.015,0.373,0.19
0.021,0.327,0.183
0.021,0.331,0.139
0.015,0.25,0.109
0.022,0.269,0.152
0.023,0.339,0.128
0.018,0.284,0.187
0.013,0.237,0.215
0.023,0.384,0.207
0.016,0.23,0.209
0.016,0.278,0.116
0.01,0.487,0.211
0.021,0.331,0.159
0.01,0.32,0.165
0.025,0.461,0.15
0.012,0.374,0.138
0.011,0.228,0.197
0.018,0.386,0.12
0.023,0.215,0.212
0.018,0.4,0.129
0.02,0.273,0.205
0.011,0.44,0.167
0.013,0.326,0.17
0.013,0.481,0.139
0.02,0.226,0.139
0.022,0.461,0.221
0.023,0.265,0.154
0.017,0.492,0.235
0.016,0.31,0.117
0.021,0.452,0.105
0.013,0.308,0.197
0.021,0.213,0.137
0.015,0.256,0.246
0.017,0.238,0.12
0.018,0.297,0.249
0.018,0.359,0.183
0.01,0.403,0.225
0.023,0.37,0.126
0.019,0.306,0.108
0.025,0.275,0.151
0.015,0.47,0.183
0.012,0.21,0.141
0.016,0.312,0.161
0.011,0.492,0.153
0.019,0.499,0.229
0.018,0.448,0.103
0.02,0.461,0.129
0.013,0.437,0.23
0.015,0.367,0.136
0.023,0.413,0.119
0.014,0.245,0.22
0.022,0.406,0.126
0.015,0.264,0.139
0.016,0.482,0.108
0.016,0.232,0.207
0.01,0.215,0.154
0.018,0.446,0.178
0.019,0.407,0.137
0.011,0.294,0.125
0.023,0.383,0.166
0.015,0.498,0.23
0.01,0.474,0.215
0.016,0.353,0.211
0.015,0.475,0.118
0.022,0.492,0.163
0.01,0.441,0.219
0.013,0.289,0.244
0.019,0.442,0.106
0.012,0.422,0.238
0.017,0.42,0.208
0.022,0.465,0.11
0.021,0.376,0.241
0.015,0.307,0.153
0.018,0.252,0.215
0.025,0.391,0.103
0.011,0.358,0.129
0.011,0.324,0.122
0.012,0.21,0.226
0.016,0.228,0.231
0.012,0.276,0.113
0.013,0.406,0.189
0.018,0.41,0.184
0.01,0.321,0.191
0.013,0.354,0.109
0.021,0.297,0.224
0.021,0.207,0.181
0.013,0.353,0.136
0.024,0.243,0.151
0.02,0.435,0.104
0.016,0.439,0.204
0.012,0.49,0.238
0.019,0.382,0.175
0.014,0.389,0.136
0.021,0.342,0.249
0.015,0.428,0.241
0.011,0.397,0.138
0.017,0.207,0.139
0.018,0.254,0.225
0.011,0.322,0.249
0.021,0.259,0.115
0.025,0.361,0.127
0.024,0.402,0.219
0.019,0.258,0.112
0.022,0.228,0.216
0.017,0.381,0.236
0.024,0.285,0.207
0.01,0.388,0.185
0.014,0.391,0.105
0.015,0.231,0.235
0.02,0.373,0.154
0.015,0.371,0.154
0.014,0.373,0.129
0.022,0.33,0.104
0.016,0.49,0.174
0.022,0.361,0.249
0.01,0.243,0.202
0.023,0.434,0.188
0.019,0.413,0.164
0.018,0.471,0.248
0.017,0.315,0.14
0.014,0.432,0.233
0.017,0.202,0.246
0.013,0.468,0.236
0.022,0.365,0.103
0.019,0.285,0.25
0.022,0.231,0.104
0.016,0.426,0.138
0.025,0.331,0.192
0.013,0.499,0.164
0.015,0.25,0.144
0.024,0.256,0.212
0.013,0.478,0.135
0.023,0.37,0.193
0.017,0.246,0.155
0.013,0.463,0.207
0.015,0.469,0.145
0.023,0.253,0.173
0.018,0.256,0.13
0.015,0.427,0.242
0.019,0.216,0.132
0.022,0.458,0.217
0.012,0.397,0.161
0.011,0.28,0.199
0.021,0.372,0.138
0.019,0.218,0.142
0.017,0.239,0.115
0.018,0.308,0.128
0.014,0.449,0.204
0.014,0.387,0.169
0.016,0.41,0.197
0.025,0.48,0.242
0.02,0.359,0.234
0.015,0.213,0.174
0.023,0.202,0.128
0.023,0.3,0.187
0.013,0.253,0.105
0.021,0.402,0.168
0.014,0.472,0.223
0.024,0.456,0.167
0.025,0.496,0.117
0.017,0.427,0.11
0.01,0.27,0.1
0.023,0.35,0.158
0.025,0.26,0.16
0.02,0.265,0.106
0.022,0.268,0.238
0.02,0.387,0.203
0.024,0.484,0.232
0.011,0.226,0.151
0.013,0.343,0.14
0.018,0.389,0.194
0.025,0.471,0.113
0.012,0.488,0.104
0.024,0.217,0.241
0.016,0.395,0.165
0.015,0.313,0.25
0.024,0.347,0.159
0.019,0.458,0.12
0.018,0.406,0.194
0.013,0.463,0.229
0.024,0.476,0.239
0.014,0.418,0.247
0.02,0.462,0.171
0.021,0.2,0.177
0.022,0.348,0.21
0.01,0.387,0.186
0.022,0.233,0.131
0.014,0.481,0.163
0.022,0.22,0.111
0.019,0.476,0.245
0.012,0.314,0.218
0.019,0.219,0.222
0.011,0.389,0.237
0.018,0.462,0.167
0.023,0.4,0.225
0.023,0.333,0.215
0.012,0.242,0.231
0.012,0.292,0.225
0.016,0.356,0.173
0.023,0.465,0.199
0.025,0.28,0.157
0.022,0.237,0.124
0.015,0.269,0.107
0.013,0.295,0.115
0.018,0.351,0.233
0.021,0.445,0.114
0.023,0.21,0.243
0.022,0.237,0.101
0.012,0.38,0.109
0.023,0.205,0.137
0.015,0.286,0.14
0.012,0.381,0.118
0.017,0.398,0.191
0.025,0.271,0.123
0.014,0.351,0.183
0.02,0.366,0.16
0.019,0.201,0.149
0.017,0.256,0.171
0.021,0.252,0.122
0.023,0.394,0.15
0.022,0.248,0.229
0.022,0.222,0.24
0.017,0.221,0.215
0.012,0.399,0.208
0.025,0.397,0.213
0.024,0.393,0.105
0.021,0.278,0.234
0.025,0.444,0.137
0.024,0.25,0.191
0.018,0.499,0.216
0.015,0.35,0.17
0.025,0.315,0.22
0.013,0.206,0.123
0.025,0.459,0.197
0.023,0.4,0.241
0.018,0.408,0.201
0.016,0.317,0.202
0.021,0.365,0.121
0.022,0.338,0.134
0.024,0.34,0.182
0.018,0.446,0.205
0.014,0.389,0.223
0.011,0.233,0.24
0.01,0.313,0.177
0.023,0.249,0.134
0.012,0.443,0.104
0.024,0.29,0.18
0.02,0.429,0.236
0.019,0.488,0.127
0.012,0.265,0.173
0.019,0.309,0.158
0.019,0.264,0.138
0.012,0.253,0.155
0.022,0.463,0.17
0.018,0.432,0.202
0.02,0.462,0.134
0.025,0.437,0.213
0.011,0.354,0.154
0.021,0.469,0.125
0.018,0.348,0.231
0.019,0.427,0.12
0.012,0.268,0.224
0.01,0.251,0.226
0.017,0.218,0.154
0.017,0.381,0.193
0.01,0.475,0.202
0.019,0.493,0.138
0.018,0.271,0.125
0.013,0.28,0.249
0.019,0.432,0.21
0.014,0.254,0.167
0.015,0.317,0.102
0.012,0.398,0.226
0.018,0.297,0.134
0.015,0.492,0.219
0.019,0.339,0.144
0.015,0.426,0.199
0.014,0.219,0.164
0.019,0.408,0.191
0.011,0.391,0.16
0.015,0.226,0.166
0.016,0.272,0.138
0.023,0.383,0.151
0.024,0.246,0.238
0.018,0.474,0.199
0.02,0.221,0.224
0.015,0.212,0.25
0.021,0.439,0.142
0.016,0.293,0.183
0.014,0.441,0.102
0.018,0.342,0.135
0.015,0.275,0.1
0.018,0.324,0.239
0.013,0.445,0.15
0.013,0.357,0.151
0.015,0.441,0.205
0.014,0.464,0.12
0.01,0.362,0.15
0.021,0.36,0.123
0.019,0.338,0.165
0.021,0.493,0.124
0.015,0.456,0.243
0.01,0.386,0.213
0.011,0.262,0.226
0.025,0.388,0.174
0.013,0.442,0.225
0.014,0.347,0.23
0.018,0.246,0.238
0.022,0.28,0.135
0.021,0.499,0.209
0.019,0.489,0.122
0.021,0.226,0.214
0.011,0.277,0.222
0.011,0.319,0.158
0.02,0.299,0.162
0.012,0.33,0.119
0.012,0.388,0.222
0.015,0.442,0.225
0.025,0.301,0.205
0.019,0.341,0.214
0.013,0.333,0.211
0.011,0.489,0.246
0.015,0.332,0.221
0.02,0.247,0.249
0.014,0.423,0.104
0.024,0.403,0.248
0.022,0.419,0.22
0.023,0.457,0.133
0.02,0.404,0.217
0.021,0.254,0.155
0.019,0.484,0.185
0.011,0.266,0.161
0.024,0.442,0.161
0.02,0.26,0.194
0.011,0.379,0.23
0.018,0.437,0.163
0.013,0.427,0.143
0.016,0.315,0.138
0.012,0.449,0.208
0.018,0.359,0.168
0.013,0.338,0.222
0.025,0.345,0.244
0.023,0.281,0.206
0.011,0.232,0.123
0.012,0.208,0.205
0.025,0.474,0.164
0.019,0.214,0.2
0.016,0.43,0.211
0.021,0.339,0.213
0.025,0.391,0.214
0.021,0.42,0.223
0.015,0.427,0.214
0.023,0.499,0.163
0.019,0.406,0.2
0.018,0.397,0.197
0.019,0.319,0.128
0.018,0.238,0.236
0.011,0.234,0.176
0.024,0.489,0.156
0.023,0.281,0.225
0.022,0.291,0.154
0.013,0.336,0.203
0.02,0.289,0.233
0.017,0.271,0.16
0.022,0.427,0.17
0.024,0.253,0.163
0.012,0.276,0.142
0.016,0.219,0.14
0.024,0.3,0.224
0.021,0.437,0.115
0.024,0.343,0.147
0.016,0.276,0.135
0.022,0.439,0.151
0.016,0.26,0.144
0.019,0.453,0.127
0.015,0.464,0.193
0.025,0.294,0.241
0.011,0.437,0.118
0.024,0.336,0.239
0.015,0.396,0.195
0.022,0.268,0.125
0.011,0.493,0.105
0.017,0.484,0.111
0.02,0.416,0.104
0.024,0.292,0.237
0.024,0.214,0.144
0.018,0.298,0.231
0.013,0.498,0.11
0.02,0.427,0.165
0.017,0.296,0.178
0.011,0.291,0.158
0.011,0.282,0.151
0.012,0.474,0.191
0.024,0.322,0.21
0.011,0.434,0.239
0.024,0.311,0.113
0.013,0.481,0.121
0.015,0.453,0.198
0.012,0.303,0.101
0.017,0.343,0.186
0.022,0.391,0.222
0.024,0.491,0.211
0.015,0.347,0.118
0.018,0.438,0.128
0.013,0.336,0.236
0.014,0.224,0.101
0.017,0.477,0.107
0.014,0.488,0.211
0.018,0.311,0.186
0.019,0.35,0.124
0.017,0.264,0.12
0.018,0.375,0.235
0.022,0.446,0.129
0.022,0.435,0.202
0.011,0.33,0.139
0.013,0.432,0.19
0.021,0.299,0.139
0.015,0.443,0.188
0.018,0.479,0.11
0.012,0.441,0.218
0.018,0.469,0.194
0.022,0.383,0.126
0.023,0.423,0.212
0.011,0.26,0.243
0.012,0.248,0.208
0.011,0.409,0.208
0.019,0.269,0.233
0.018,0.475,0.233
0.021,0.459,0.24
0.017,0.496,0.237
0.014,0.455,0.243
0.018,0.321,0.164
0.013,0.315,0.178
0.016,0.323,0.215
0.013,0.25,0.217
0.018,0.348,0.245
0.01,0.284,0.223
0.021,0.465,0.195
0.02,0.264,0.161
0.02,0.417,0.135
0.023,0.379,0.102
0.016,0.485,0.164
0.013,0.383,0.148
0.017,0.34,0.123
0.011,0.385,0.15
0.012,0.272,0.172
0.019,0.416,0.214
0.01,0.394,0.229
0.016,0.32,0.103
0.023,0.287,0.221
0.021,0.239,0.152
0.012,0.373,0.123
0.023,0.443,0.1
0.024,0.303,0.106
0.023,0.363,0.211
0.017,0.277,0.177
0.015,0.361,0.106
0.025,0.314,0.113
0.015,0.331,0.243
0.014,0.396,0.101
0.015,0.448,0.159
0.016,0.262,0.103
0.018,0.346,0.224
0.019,0.46,0.124
0.01,0.256,0.145
0.024,0.408,0.15
0.018,0.28,0.124
0.023,0.496,0.183
0.025,0.369,0.222
0.018,0.447,0.202
0.02,0.235,0.124
0.016,0.427,0.184
0.013,0.272,0.214
0.019,0.229,0.209
0.021,0.349,0.188
0.01,0.457,0.114
0.021,0.25,0.123
0.012,0.354,0.249
0.014,0.218,0.107
0.016,0.351,0.171
0.023,0.359,0.232
0.02,0.422,0.193
0.02,0.235,0.189
0.01,0.276,0.133
0.02,0.34,0.187
0.019,0.385,0.223
0.013,0.211,0.162
0.018,0.347,0.148
0.023,0.489,0.216
0.012,0.354,0.119
0.012,0.207,0.143
0.023,0.205,0.233
0.018,0.224,0.169
0.01,0.212,0.242
0.014,0.415,0.235
0.011,0.248,0.167
0.013,0.474,0.181
0.011,0.266,0.221
0.02,0.274,0.199
0.013,0.34,0.219
0.02,0.479,0.205
0.017,0.237,0.105
0.022,0.385,0.112
0.014,0.442,0.225
0.016,0.281,0.146
0.022,0.433,0.136
0.021,0.371,0.172
0.016,0.336,0.166
0.022,0.469,0.173
0.021,0.307,0.232
0.013,0.236,0.175
0.018,0.433,0.204
0.022,0.325,0.115
0.011,0.41,0.117
0.019,0.256,0.201
0.024,0.458,0.209
0.02,0.261,0.154
0.017,0.393,0.148
0.015,0.285,0.165
0.016,0.408,0.217
0.02,0.483,0.123
0.014,0.441,0.134
0.023,0.231,0.209
0.011,0.262,0.121
0.021,0.23,0.115
0.023,0.368,0.133
0.013,0.259,0.233
0.023,0.437,0.109
0.017,0.22,0.13
0.018,0.216,0.171
0.022,0.373,0.234
0.013,0.311,0.223
0.022,0.499,0.144
0.018,0.423,0.23
0.014,0.346,0.219
0.015,0.272,0.193
0.01,0.252,0.165
0.024,0.41,0.194
0.025,0.348,0.129
0.019,0.425,0.152
0.025,0.457,0.117
0.025,0.245,0.146
0.015,0.467,0.218
0.017,0.49,0.239
0.01,0.371,0.226
0.023,0.464,0.156
0.013,0.273,0.129
0.018,0.237,0.211
0.012,0.221,0.125
0.016,0.376,0.158
0.013,0.391,0.209
0.021,0.333,0.217
0.02,0.345,0.233
0.021,0.494,0.231
0.019,0.386,0.167
0.016,0.419,0.154
0.021,0.334,0.201
0.019,0.456,0.189
0.023,0.374,0.164
0.019,0.275,0.215
0.02,0.246,0.2
0.015,0.391,0.125
0.012,0.311,0.237
0.014,0.292,0.247
0.012,0.284,0.163
0.023,0.376,0.18
0.011,0.435,0.175
0.015,0.451,0.177
0.024,0.38,0.198
0.023,0.336,0.178
0.021,0.275,0.175
0.019,0.258,0.243
0.02,0.498,0.185
0.016,0.348,0.185
0.016,0.466,0.172
0.023,0.28,0.222
0.023,0.397,0.141
0.015,0.206,0.169
0.014,0.265,0.152
0.022,0.457,0.108
0.01,0.208,0.111
0.01,0.441,0.193
0.016,0.271,0.145
0.023,0.379,0.233
0.015,0.35,0.2
0.022,0.396,0.155
0.015,0.441,0.114
0.016,0.333,0.182
0.011,0.373,0.211
0.01,0.366,0.232
0.01,0.273,0.167
0.02,0.485,0.212
0.013,0.253,0.233
0.013,0.434,0.137
0.016,0.244,0.158
0.01,0.472,0.184
0.023,0.462,0.237
0.022,0.343,0.208
0.022,0.348,0.18
0.017,0.498,0.105
0.017,0.487,0.208
0.013,0.258,0.208
0.021,0.349,0.111
0.012,0.229,0.217
0.024,0.248,0.126
0.02,0.334,0.123
0.024,0.298,0.18
0.012,0.259,0.225
0.016,0.385,0.227
0.02,0.222,0.195
0.016,0.367,0.162
0.023,0.222,0.118
0.019,0.426,0.226
0.024,0.287,0.232
0.019,0.403,0.117
0.013,0.388,0.171
0.023,0.46,0.242
0.011,0.408,0.111
0.021,0.3,0.103
0.012,0.24,0.101
0.02,0.471,0.12
0.018,0.424,0.235
0.016,0.352,0.107
0.024,0.309,0.101
0.024,0.339,0.227
0.023,0.252,0.225
0.019,0.462,0.122
0.011,0.21,0.14
0.012,0.225,0.168
0.019,0.386,0.188
0.011,0.249,0.179
0.016,0.439,0.11
0.014,0.253,0.198
0.013,0.495,0.136
0.02,0.453,0.134
0.02,0.252,0.106
0.016,0.235,0.114
0.018,0.409,0.137
0.025,0.369,0.205
0.025,0.272,0.2
0.011,0.468,0.238
0.014,0.36,0.244
0.012,0.446,0.115
0.019,0.226,0.182
0.015,0.388,0.111
0.017,0.36,0.22
0.02,0.4,0.176
0.012,0.48,0.156
0.011,0.436,0.224
0.01,0.337,0.166
0.025,0.376,0.239
0.023,0.393,0.221
0.012,0.395,0.172
0.015,0.317,0.165
0.023,0.287,0.142
0.024,0.218,0.14
0.013,0.43,0.199
0.017,0.419,0.206
0.01,0.458,0.199
0.015,0.497,0.112
0.016,0.468,0.24
0.015,0.27,0.172
0.022,0.363,0.23
0.024,0.265,0.229
0.019,0.384,0.21
0.014,0.336,0.177
0.013,0.265,0.118
0.025,0.313,0.156
0.023,0.324,0.196
0.015,0.232,0.136
0.018,0.38,0.246
0.018,0.296,0.225
0.02,0.23,0.122
0.012,0.441,0.189
0.012,0.204,0.182
0.012,0.336,0.203
0.012,0.344,0.228
0.017,0.41,0.104
0.024,0.459,0.195
0.02,0.398,0.187
0.025,0.388,0.237
0.019,0.496,0.242
0.018,0.482,0.205
0.018,0.351,0.214
0.025,0.413,0.18
0.024,0.313,0.128
0.019,0.355,0.1
0.013,0.233,0.245
0.015,0.27,0.137
0.011,0.344,0.169
0.018,0.346,0.102
0.02,0.387,0.213
0.013,0.331,0.237
0.019,0.45,0.154
0.011,0.463,0.135
0.018,0.376,0.105
0.024,0.495,0.248
0.015,0.474,0.208
0.013,0.211,0.105
0.012,0.311,0.179
0.02,0.277,0.239
0.01,0.251,0.202
0.022,0.45,0.232
0.022,0.459,0.245
0.012,0.409,0.183
0.019,0.367,0.165
0.017,0.23,0.174
0.025,0.333,0.241
0.011,0.36,0.109
0.017,0.489,0.205
0.019,0.369,0.209
0.016,0.473,0.133
0.015,0.45,0.107
0.017,0.205,0.222
0.018,0.235,0.124
0.025,0.314,0.146
0.021,0.372,0.174
0.011,0.333,0.104
0.021,0.22,0.244
0.019,0.325,0.126
0.02,0.341,0.161
0.012,0.381,0.15
0.025,0.207,0.21
0.011,0.36,0.24
0.019,0.292,0.135
0.02,0.225,0.235
0.012,0.381,0.123
0.017,0.253,0.116
0.012,0.239,0.203
0.014,0.383,0.205
0.021,0.239,0.205
0.017,0.28,0.174
0.017,0.5,0.202
0.016,0.29,0.145
0.02,0.325,0.191
0.02,0.4,0.14
0.019,0.225,0.141
0.018,0.224,0.203
0.021,0.314,0.231
0.013,0.496,0.155
0.017,0.49,0.219
0.018,0.28,0.151
0.019,0.252,0.168
0.022,0.225,0.129
0.016,0.397,0.103
0.015,0.242,0.209
0.011,0.418,0.207
0.014,0.225,0.169
0.014,0.295,0.247
0.023,0.313,0.182
0.025,0.468,0.183
0.013,0.261,0.152
0.021,0.389,0.11
0.01,0.376,0.167
0.013,0.299,0.216
0.021,0.401,0.164
0.023,0.492,0.121
0.016,0.459,0.175
0.017,0.446,0.121
0.024,0.481,0.142
0.02,0.488,0.105
0.02,0.435,0.19
0.02,0.47,0.243
0.018,0.409,0.202
0.021,0.257,0.136
0.015,0.333,0.208
0.014,0.496,0.122
0.018,0.253,0.174
0.022,0.353,0.136
0.012,0.394,0.116
0.01,0.463,0.116
0.019,0.466,0.162
0.018,0.433,0.125
0.024,0.212,0.247
0.01,0.339,0.211
0.022,0.392,0.135
0.015,0.317,0.231
0.024,0.27,0.119
0.024,0.456,0.152
0.022,0.219,0.208
0.025,0.374,0.127
0.015,0.45,0.241
0.016,0.201,0.12
0.021,0.202,0.22
0.011,0.315,0.147
0.013,0.315,0.247
0.017,0.431,0.195
0.015,0.309,0.109
0.015,0.481,0.213
0.012,0.308,0.206
0.01,0.433,0.231
0.016,0.279,0.242
0.025,0.277,0.114
0.012,0.236,0.197
0.011,0.296,0.14
0.012,0.291,0.173
0.015,0.421,0.194
0.018,0.412,0.176
0.016,0.359,0.192
0.019,0.479,0.192
0.025,0.364,0.136
0.015,0.358,0.17
0.018,0.317,0.159
0.023,0.31,0.206
0.025,0.4,0.193
0.012,0.332,0.231
0.01,0.374,0.226
0.013,0.463,0.148
0.017,0.446,0.137
0.021,0.219,0.187
0.013,0.447,0.152
0.013,0.242,0.206
0.023,0.215,0.129
0.021,0.39,0.155
0.02,0.392,0.134
0.018,0.415,0.131
0.013,0.29,0.104
0.013,0.268,0.153
0.019,0.323,0.124
0.012,0.284,0.18
0.011,0.309,0.184
0.019,0.411,0.137
0.017,0.227,0.242
0.011,0.24,0.107
0.018,0.352,0.245
0.015,0.46,0.19
0.012,0.374,0.213
0.016,0.287,0.175
0.012,0.262,0.188
0.024,0.305,0.197
0.02,0.294,0.138
0.014,0.342,0.153
0.02,0.497,0.153
0.013,0.215,0.2
0.021,0.35,0.243
0.013,0.314,0.145
0.025,0.287,0.185
0.014,0.227,0.106
0.012,0.285,0.237
0.02,0.331,0.208
0.012,0.304,0.205
0.013,0.473,0.13
